link_type,link_type_name,agent_type_list,type_code,traffic_flow_code
1,Highway/Expressway,,f,1
2,Major arterial,,a,1
20,Major arterial_movement,,a,2
3,Minor arterial,,m,1
4,Local,,l,1
99,Connetor,,c,0
