from_node_id,to_node_id,time_window,time_interval,travel_time_delta,capacity,cycle_length
31,97,0705:05_0705:18,-1,-1,6.47717,60
25,92,0705:05_0705:18,-1,-1,1.619292,60
25,93,0705:05_0705:18,-1,-1,6.47717,60
25,94,0705:05_0705:18,-1,-1,6.47717,60
45,98,0705:30_0705:33,-1,-1,1.619292,60
45,99,0705:33_0705:35,-1,-1,1.619292,60
45,100,0705:33_0705:35,-1,-1,1.619292,60
53,101,0705:30_0705:33,-1,-1,1.619292,60
53,102,0705:33_0705:35,-1,-1,1.619292,60
53,103,0705:33_0705:35,-1,-1,1.619292,60
31,95,0705:35_0705:48,-1,-1,1.709253,60
31,96,0705:35_0705:48,-1,-1,6.47717,60
31,97,0705:35_0705:48,-1,-1,6.47717,60
25,92,0705:35_0705:48,-1,-1,1.619292,60
25,93,0705:35_0705:48,-1,-1,6.47717,60
25,94,0705:35_0705:48,-1,-1,6.47717,60
45,98,0706:00_0706:03,-1,-1,1.619292,60
45,99,0706:03_0706:05,-1,-1,1.619292,60
45,100,0706:03_0706:05,-1,-1,1.619292,60
53,101,0706:00_0706:03,-1,-1,1.619292,60
53,102,0706:03_0706:05,-1,-1,1.619292,60
53,103,0706:03_0706:05,-1,-1,1.619292,60
31,95,0706:05_0706:18,-1,-1,1.709253,60
31,96,0706:05_0706:18,-1,-1,6.47717,60
31,97,0706:05_0706:18,-1,-1,6.47717,60
25,92,0706:05_0706:18,-1,-1,1.619292,60
25,93,0706:05_0706:18,-1,-1,6.47717,60
25,94,0706:05_0706:18,-1,-1,6.47717,60
45,98,0706:30_0706:33,-1,-1,1.619292,60
45,99,0706:33_0706:35,-1,-1,1.619292,60
45,100,0706:33_0706:35,-1,-1,1.619292,60
53,101,0706:30_0706:33,-1,-1,1.619292,60
53,102,0706:33_0706:35,-1,-1,1.619292,60
53,103,0706:33_0706:35,-1,-1,1.619292,60
31,95,0706:35_0706:48,-1,-1,1.709253,60
31,96,0706:35_0706:48,-1,-1,6.47717,60
31,97,0706:35_0706:48,-1,-1,6.47717,60
25,92,0706:35_0706:48,-1,-1,1.619292,60
