from_node_id,to_node_id,time_window,time_interval,travel_time_delta,capacity,cycle_length
31,96,0721:35_0721:48,-1,-1,6.47717,60
31,97,0721:35_0721:48,-1,-1,6.47717,60
25,92,0721:35_0721:48,-1,-1,1.619292,60
25,93,0721:35_0721:48,-1,-1,6.47717,60
25,94,0721:35_0721:48,-1,-1,6.47717,60
45,98,0722:00_0722:03,-1,-1,1.619292,60
45,99,0722:03_0722:05,-1,-1,1.619292,60
45,100,0722:03_0722:05,-1,-1,1.619292,60
53,101,0722:00_0722:03,-1,-1,1.619292,60
53,102,0722:03_0722:05,-1,-1,1.619292,60
53,103,0722:03_0722:05,-1,-1,1.619292,60
31,95,0722:05_0722:18,-1,-1,1.709253,60
31,96,0722:05_0722:18,-1,-1,6.47717,60
31,97,0722:05_0722:18,-1,-1,6.47717,60
25,92,0722:05_0722:18,-1,-1,1.619292,60
25,93,0722:05_0722:18,-1,-1,6.47717,60
25,94,0722:05_0722:18,-1,-1,6.47717,60
45,98,0722:30_0722:33,-1,-1,1.619292,60
45,99,0722:33_0722:35,-1,-1,1.619292,60
45,100,0722:33_0722:35,-1,-1,1.619292,60
53,101,0722:30_0722:33,-1,-1,1.619292,60
53,102,0722:33_0722:35,-1,-1,1.619292,60
53,103,0722:33_0722:35,-1,-1,1.619292,60
31,95,0722:35_0722:48,-1,-1,1.709253,60
31,96,0722:35_0722:48,-1,-1,6.47717,60
