agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,opti_cost,oc_diff,relative_diff,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
18,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:27;0702:27;0703:27;0710:17;0711:37;0712:40;0713:40;,421.45;422.45;423.45;430.30;431.62;432.68;433.68;,1.00;1.00;6.85;1.32;1.07;1.00;
19,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:31;0702:31;0703:31;0710:37;0711:39;0712:46;0713:46;,421.53;422.53;423.53;430.62;431.67;432.78;433.78;,1.00;1.00;7.08;1.05;1.12;1.00;
20,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:37;0702:37;0703:37;0710:37;0711:40;0712:50;0713:50;,421.62;422.62;423.62;430.62;431.68;432.83;433.83;,1.00;1.00;7.00;1.07;1.15;1.00;
21,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:42;0702:42;0703:42;0711:46;0712:46;0713:46;0714:46;,421.70;422.70;423.70;431.78;432.78;433.78;434.78;,1.00;1.00;8.08;1.00;1.00;1.00;
22,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:47;0702:47;0703:47;0711:46;0713:05;0714:05;0715:05;,421.80;422.80;423.80;431.78;433.08;434.08;435.08;,1.00;1.00;7.98;1.30;1.00;1.00;
23,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:52;0702:52;0703:52;0712:10;0713:12;0714:14;0715:14;,421.88;422.88;423.88;432.18;433.20;434.23;435.23;,1.00;1.00;8.30;1.02;1.03;1.00;
24,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0701:58;0702:58;0703:58;0712:10;0713:15;0714:17;0715:17;,421.97;422.97;423.97;432.18;433.25;434.30;435.30;,1.00;1.00;8.22;1.07;1.05;1.00;
25,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:02;0703:02;0704:02;0713:14;0714:15;0715:15;0716:15;,422.05;423.05;424.05;433.23;434.25;435.25;436.25;,1.00;1.00;9.18;1.02;1.00;1.00;
26,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:07;0703:07;0704:07;0713:14;0714:16;0715:17;0716:17;,422.13;423.13;424.13;433.23;434.28;435.30;436.30;,1.00;1.00;9.10;1.05;1.02;1.00;
27,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:13;0703:13;0704:13;0714:36;0715:38;0716:45;0717:45;,422.22;423.22;424.22;434.60;435.65;436.75;437.75;,1.00;1.00;10.38;1.05;1.10;1.00;
28,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:17;0703:17;0704:17;0714:36;0715:39;0716:51;0717:51;,422.30;423.30;424.30;434.60;435.67;436.85;437.85;,1.00;1.00;10.30;1.07;1.18;1.00;
29,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:23;0703:23;0704:23;0715:17;0716:37;0717:37;0718:37;,422.40;423.40;424.40;435.30;436.63;437.63;438.63;,1.00;1.00;10.90;1.33;1.00;1.00;
30,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:29;0703:29;0704:29;0715:17;0716:38;0717:38;0718:38;,422.48;423.48;424.48;435.30;436.65;437.65;438.65;,1.00;1.00;10.82;1.35;1.00;1.00;
31,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:34;0703:34;0704:34;0716:06;0717:07;0718:09;0719:09;,422.57;423.57;424.57;436.10;437.12;438.17;439.17;,1.00;1.00;11.53;1.02;1.05;1.00;
32,1,2,0,34,27,p,AM,1,0.0,5.1969,5.0100,0,0,0,34;35;30;31;96;26;27;,17;77;15;148;149;13;,0702:38;0703:38;0704:38;0716:06;0717:08;0718:14;0719:14;,422.65;423.65;424.65;436.10;437.15;438.23;439.23;,1.00;1.00;11.45;1.05;1.08;1.00;
